LABELS
SEPARATOR TAB
DATA
EPI4783895|NA|A/Madagascar/03473/2025|EPI_ISL_20240056|A_/_H3N2	Madagascar/03473/2025
EPI4783982|NA|A/Madagascar/75271/2025|EPI_ISL_20240068|A_/_H3N2	Madagascar/75271/2025
EPI4783911|NA|A/Madagascar/03570/2025|EPI_ISL_20240058|A_/_H3N2	Madagascar/03570/2025
EPI4638593|NA|A/Madagascar/01846/2025|EPI_ISL_20144891|A_/_H3N2	Madagascar/01846/2025
EPI4638618|NA|A/Madagascar/02004/2025|EPI_ISL_20144895|A_/_H3N2	Madagascar/02004/2025
EPI4638578|NA|A/Madagascar/01832/2025|EPI_ISL_20144889|A_/_H3N2	Madagascar/01832/2025
EPI4715603|NA|A/Madagascar/01832/2025|EPI_ISL_20178572|A_/_H3N2	Madagascar/01832/2025
EPI4638586|NA|A/Madagascar/01834/2025|EPI_ISL_20144890|A_/_H3N2	Madagascar/01834/2025
EPI4645067|NA|A/Madagascar/2063/2025|EPI_ISL_20150122|A_/_H3N2	Madagascar/2063/2025
EPI5042320|NA|A/Madagascar/04478/2025|EPI_ISL_20337081|A_/_H3N2	Madagascar/04478/2025
EPI4974689|NA|A/Madagascar/04293/2025|EPI_ISL_20316007|A_/_H3N2	Madagascar/04293/2025
EPI4974711|NA|A/Madagascar/04348/2025|EPI_ISL_20316010|A_/_H3N2	Madagascar/04348/2025
EPI5191590|NA|A/Madagascar/00177/2026|EPI_ISL_20379680|A_/_H3N2	Madagascar/00177/2026
EPI5042244|NA|A/Madagascar/04345/2025|EPI_ISL_20337071|A_/_H3N2	Madagascar/04345/2025
EPI5042343|NA|A/Madagascar/04503/2025|EPI_ISL_20337084|A_/_H3N2	Madagascar/04503/2025
EPI4974719|NA|A/Madagascar/04355/2025|EPI_ISL_20316011|A_/_H3N2	Madagascar/04355/2025
EPI4974763|NA|A/Madagascar/04450/2025|EPI_ISL_20316017|A_/_H3N2	Madagascar/04450/2025
EPI5042351|NA|A/Madagascar/04507/2025|EPI_ISL_20337085|A_/_H3N2	Madagascar/04507/2025
EPI4995280|NA|A/Madagascar/04236/2025|EPI_ISL_20325354|A_/_H3N2	Madagascar/04236/2025
EPI5042213|NA|A/Madagascar/04318/2025|EPI_ISL_20337067|A_/_H3N2	Madagascar/04318/2025
EPI5191621|NA|A/Madagascar/00667/2026|EPI_ISL_20379686|A_/_H3N2	Madagascar/00667/2026
EPI5042252|NA|A/Madagascar/04346/2025|EPI_ISL_20337072|A_/_H3N2	Madagascar/04346/2025
EPI5042267|NA|A/Madagascar/04361/2025|EPI_ISL_20337074|A_/_H3N2	Madagascar/04361/2025
EPI4974682|NA|A/Madagascar/04262/2025|EPI_ISL_20316006|A_/_H3N2	Madagascar/04262/2025
EPI4995233|NA|A/Madagascar/04172/2025|EPI_ISL_20325348|A_/_H3N2	Madagascar/04172/2025
EPI5191626|NA|A/Madagascar/00720/2026|EPI_ISL_20379687|A_/_H3N2	Madagascar/00720/2026
EPI4995303|NA|A/Madagascar/04272/2025|EPI_ISL_20325357|A_/_H3N2	Madagascar/04272/2025
EPI4974727|NA|A/Madagascar/04368/2025|EPI_ISL_20316012|A_/_H3N2	Madagascar/04368/2025
EPI5042237|NA|A/Madagascar/04343/2025|EPI_ISL_20337070|A_/_H3N2	Madagascar/04343/2025
EPI5042221|NA|A/Madagascar/04331/2025|EPI_ISL_20337068|A_/_H3N2	Madagascar/04331/2025
EPI5191582|NA|A/Madagascar/00139/2026|EPI_ISL_20379679|A_/_H3N2	Madagascar/00139/2026
EPI5042290|NA|A/Madagascar/04384/2025|EPI_ISL_20337077|A_/_H3N2	Madagascar/04384/2025
EPI5191614|NA|A/Madagascar/00448/2026|EPI_ISL_20379685|A_/_H3N2	Madagascar/00448/2026
EPI5042229|NA|A/Madagascar/04342/2025|EPI_ISL_20337069|A_/_H3N2	Madagascar/04342/2025
EPI5179828|NA|A/Madagascar/3778/2025|EPI_ISL_20373664|A_/_H3N2	Madagascar/3778/2025
EPI5155748|NA|A/Madagascar/3719/2025|EPI_ISL_20367257|A_/_H3N2	Madagascar/3719/2025
EPI5042313|NA|A/Madagascar/04462/2025|EPI_ISL_20337080|A_/_H3N2	Madagascar/04462/2025
EPI4974749|NA|A/Madagascar/04416/2025|EPI_ISL_20316015|A_/_H3N2	Madagascar/04416/2025
EPI4995335|NA|A/Madagascar/04309/2025|EPI_ISL_20325361|A_/_H3N2	Madagascar/04309/2025
EPI4974703|NA|A/Madagascar/04312/2025|EPI_ISL_20316009|A_/_H3N2	Madagascar/04312/2025
EPI4995343|NA|A/Madagascar/04311/2025|EPI_ISL_20325362|A_/_H3N2	Madagascar/04311/2025
