DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Madagascar vs Africa
EPI392611|NA|B/Madagascar/02853/2012|EPI_ISL_128137|B	#c0392b
EPI904529|NA|B/Madagascar/01732/2012|EPI_ISL_246843|B	#c0392b
EPI392609|NA|B/Madagascar/01732/2012|EPI_ISL_128136|B	#c0392b
EPI904533|NA|B/Madagascar/03165/2012|EPI_ISL_246847|B	#c0392b
EPI392617|NA|B/Madagascar/03165/2012|EPI_ISL_128140|B	#c0392b
EPI904527|NA|B/Madagascar/01593/2012|EPI_ISL_246841|B	#c0392b
EPI392605|NA|B/Madagascar/01593/2012|EPI_ISL_128134|B	#c0392b
EPI904526|NA|B/Madagascar/01591/2012|EPI_ISL_246840|B	#c0392b
EPI392603|NA|B/Madagascar/01591/2012|EPI_ISL_128133|B	#c0392b
EPI904532|NA|B/Madagascar/03142/2012|EPI_ISL_246846|B	#c0392b
EPI392615|NA|B/Madagascar/03142/2012|EPI_ISL_128139|B	#c0392b
EPI440029|NA|B/Kenya/2302/2012|EPI_ISL_138956|B	#95a5a6
EPI515264|NA|B/Cote_d_Ivoire/2021/2013|EPI_ISL_158873|B	#95a5a6
EPI840654|NA|B/Mali/022/2016|EPI_ISL_234997|B	#95a5a6
EPI1296792|NA|B/Cameroon/15v-7299/2015|EPI_ISL_326432|B	#95a5a6
EPI1243573|NA|B/Niger/3276/2016|EPI_ISL_312418|B	#95a5a6
EPI986174|NA|B/Dakar/03/2016|EPI_ISL_261237|B	#95a5a6
EPI1113669|NA|B/Niger/4557/2017|EPI_ISL_287041|B	#95a5a6
EPI1296799|NA|B/Cameroon/16v-3399/2016|EPI_ISL_326439|B	#95a5a6
EPI1296794|NA|B/Cameroon/15v-7485/2015|EPI_ISL_326434|B	#95a5a6
EPI1296787|NA|B/Cameroon/15v-3541/2015|EPI_ISL_326427|B	#95a5a6
EPI843824|NA|B/Congo/0654/2016|EPI_ISL_235510|B	#95a5a6
EPI721110|NA|B/Tanzania/2116/2015|EPI_ISL_214257|B	#95a5a6
EPI649360|NA|B/Mozambique/IR1010/2015|EPI_ISL_197478|B	#95a5a6
EPI825714|NA|B/Rwanda/450/2016|EPI_ISL_232229|B	#95a5a6
EPI543166|NA|B/Cameroon/2080/2014|EPI_ISL_166753|B	#95a5a6
EPI904565|NA|B/Johanneburg/3964/2012|EPI_ISL_246879|B	#95a5a6
EPI807290|NA|B/Uganda/4820/2016|EPI_ISL_229299|B	#95a5a6
EPI422702|NA|B/Tanzania/335/2012|EPI_ISL_135852|B	#95a5a6
