Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
52	:	1774975318.626	     4.710	0	111	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H9.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
62	:	1774975321.905	     1.434	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H10N1.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
61	:	1774975321.595	     2.621	0	107	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_C.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
28	:	1774975310.234	    14.124	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H3N8.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
63	:	1774975321.967	     2.638	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H10N6.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
66	:	1774975323.341	     1.582	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H10N9.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
64	:	1774975322.405	     2.806	0	117	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H10N7.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
65	:	1774975323.338	     2.601	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H10N8.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
67	:	1774975324.218	     2.932	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H11N1.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
68	:	1774975324.360	     2.790	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H11N2.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
69	:	1774975324.608	     2.550	0	123	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H11N2.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
70	:	1774975324.927	     2.569	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H11N6.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
33	:	1774975310.737	    17.091	0	114	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H5N1.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
71	:	1774975325.214	     2.884	0	117	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H11N9.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
72	:	1774975325.943	     2.882	0	111	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/MP_H1.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
54	:	1774975319.229	    10.332	0	114	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H9N2.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
