PB2_H10N6.africa	3	3	OK
PB2_H10N7.africa	6	6	OK
PB2_H10N8.africa	6	6	OK
PB2_H10N9.africa	4	4	OK
PB2_H11N1.africa	7	7	OK
PB2_H11N2.africa	5	5	OK
PB2_H11N2.madagascar	4	4	OK
PB2_H11N6.africa	4	4	OK
PB2_H11N9.africa	10	10	OK
PB2_H1N1.africa	4755	4755	OK
PB2_H1N1.madagascar	109	109	OK
PB2_H1N2.africa	10	10	OK
PB2_H1N2.madagascar	7	7	OK
PB2_H1N8.africa	5	5	OK
PB2_H2N9.africa	3	3	OK
PB2_H3N2.africa	6736	6736	OK
PB2_H3N2.madagascar	264	264	OK
PB2_H3N6.africa	3	3	OK
PB2_H3N8.africa	11	11	OK
PB2_H4N6.africa	23	23	OK
PB2_H4N6.madagascar	20	20	OK
PB2_H4N8.africa	3	3	OK
PB2_H5N1.africa	970	970	OK
PB2_H5N2.africa	23	23	OK
PB2_H5N8.africa	268	268	OK
PB2_H6N1.africa	23	23	OK
PB2_H6N1.madagascar	21	21	OK
PB2_H6N2.africa	61	61	OK
PB2_H6N2.madagascar	22	22	OK
PB2_H6N8.africa	5	5	OK
PB2_H6N8.madagascar	3	3	OK
PB2_H7N1.africa	13	13	OK
PB2_H7N3.africa	11	11	OK
PB2_H7N6.africa	72	72	OK
PB2_H7N7.africa	15	15	OK
PB2_H7N7.madagascar	3	3	OK
PB2_H8N4.africa	3	3	OK
PB2_H9N2.africa	827	827	OK
PB2_H9N2.madagascar	60	60	OK
